User_ID,Age,Gender,Annual_Income,Membership_Type,Membership_Duration,Frequency_of_Visit,Preferred_Time,Previous_Membership,Marital_Status,Location,Promotion_Response,Health_Condition,Membership_Prediction,Professional,Professional_Status
48,26,Male,44236,Premium,60,6,Afternoon,Yes,Divorced,Urban,No,Average,Yes,Early Career,Working
49,56,Female,77772,VIP,46,6,Evening,No,Married,Urban,No,Excellent,Yes,Late Career,Working
50,35,Female,59550,Premium,30,5,Evening,Yes,Single,Suburban,No,Excellent,Yes,Employed,Working
51,21,Female,32952,Basic,36,2,Evening,No,Single,Suburban,Yes,Good,Yes,Student,In Education
52,42,Male,52721,Premium,49,4,Afternoon,Yes,Married,Rural,No,Average,No,Employed,Working
53,31,Male,88660,VIP,26,5,Morning,No,Married,Rural,No,Average,Yes,Employed,Working
54,67,Female,51008,Premium,11,3,Morning,Yes,Married,Urban,No,Average,No,Retired,Retired
55,26,Male,24708,Basic,59,3,Afternoon,No,Single,Rural,Yes,Average,Yes,Early Career,Working
56,43,Male,68012,Premium,6,2,Afternoon,Yes,Married,Rural,No,Good,Yes,Employed,Working
57,70,Female,48325,VIP,42,3,Afternoon,Yes,Single,Suburban,No,Good,Yes,Retired,Retired
58,19,Male,40024,VIP,29,2,Evening,Yes,Married,Suburban,No,Excellent,No,Student,In Education
59,37,Female,67556,Premium,28,4,Morning,Yes,Married,Rural,No,Excellent,No,Employed,Working
60,45,Male,91779,VIP,15,6,Morning,No,Divorced,Suburban,No,Average,No,Employed,Working
61,64,Female,88647,VIP,29,4,Morning,Yes,Single,Rural,No,Excellent,No,Late Career,Working
62,24,Other,25398,Basic,6,2,Morning,No,Married,Urban,Yes,Good,Yes,Early Career,Working
63,61,Male,113585,VIP,48,4,Evening,Yes,Single,Urban,No,Excellent,No,Late Career,Working
64,25,Male,66774,Premium,12,3,Afternoon,Yes,Divorced,Suburban,No,Poor,No,Early Career,Working
65,64,Male,116222,VIP,51,4,Evening,Yes,Single,Suburban,No,Excellent,Yes,Late Career,Working
66,52,Male,77341,VIP,16,3,Afternoon,Yes,Single,Rural,No,Good,Yes,Employed,Working
67,31,Female,71745,Premium,46,6,Afternoon,No,Single,Rural,No,Average,Yes,Employed,Working
68,34,Female,45589,Premium,38,6,Morning,No,Single,Urban,No,Poor,No,Employed,Working
69,53,Male,95076,VIP,58,3,Morning,Yes,Single,Urban,No,Poor,No,Employed,Working
70,67,Male,37084,Basic,9,1,Afternoon,No,Single,Rural,Yes,Poor,No,Retired,Retired
71,57,Male,86180,VIP,22,4,Afternoon,No,Single,Suburban,No,Excellent,Yes,Late Career,Working
72,21,Female,17709,Basic,33,4,Morning,Yes,Married,Urban,Yes,Excellent,Yes,Student,In Education
73,19,Male,42840,VIP,26,2,Morning,Yes,Married,Suburban,No,Poor,Yes,Student,In Education
74,23,Female,27499,Basic,54,2,Morning,No,Single,Rural,Yes,Poor,Yes,Early Career,Working
75,59,Female,63027,VIP,40,5,Morning,No,Single,Rural,No,Average,No,Late Career,Working
76,21,Female,31351,Basic,7,3,Morning,Yes,Married,Suburban,Yes,Average,Yes,Student,In Education
77,46,Male,89421,VIP,46,6,Evening,Yes,Divorced,Urban,No,Poor,Yes,Employed,Working
78,35,Female,68251,VIP,32,6,Evening,Yes,Married,Rural,No,Average,Yes,Employed,Working
79,43,Male,70103,Premium,40,1,Evening,Yes,Divorced,Suburban,No,Good,Yes,Employed,Working
80,61,Male,118215,VIP,43,3,Morning,Yes,Single,Suburban,No,Excellent,No,Late Career,Working
81,51,Female,52524,Premium,60,4,Afternoon,Yes,Single,Urban,No,Average,Yes,Employed,Working
82,27,Female,33944,Basic,24,5,Afternoon,Yes,Married,Rural,Yes,Good,Yes,Early Career,Working
83,53,Male,55413,Premium,41,3,Morning,Yes,Married,Urban,No,Excellent,No,Employed,Working
84,31,Male,89305,VIP,51,5,Evening,Yes,Married,Urban,No,Average,Yes,Employed,Working
85,48,Male,64811,Premium,39,3,Afternoon,Yes,Single,Suburban,No,Excellent,No,Employed,Working
86,65,Male,107097,VIP,38,4,Morning,No,Married,Urban,No,Good,Yes,Late Career,Working
87,32,Male,92010,VIP,50,4,Evening,No,Married,Suburban,No,Good,Yes,Employed,Working
88,25,Male,33395,VIP,37,3,Evening,No,Divorced,Urban,Yes,Excellent,No,Early Career,Working
89,31,Male,114823,VIP,19,6,Evening,Yes,Single,Suburban,No,Poor,Yes,Employed,Working
90,40,Female,47011,VIP,43,6,Evening,No,Single,Urban,No,Average,No,Employed,Working
91,57,Female,87657,VIP,5,1,Evening,Yes,Single,Urban,No,Poor,Yes,Late Career,Working
92,38,Female,42520,Basic,30,4,Evening,Yes,Married,Urban,No,Good,No,Employed,Working
93,33,Male,65563,Premium,59,2,Evening,Yes,Single,Rural,No,Excellent,No,Employed,Working
94,62,Female,71337,Premium,25,1,Evening,No,Married,Rural,No,Average,No,Late Career,Working
95,35,Female,38995,Basic,30,3,Evening,Yes,Divorced,Urban,Yes,Average,No,Employed,Working
96,64,Female,49849,Premium,56,1,Evening,Yes,Single,Rural,No,Poor,Yes,Late Career,Working
97,70,Female,51663,Premium,25,2,Morning,No,Divorced,Suburban,No,Average,No,Retired,Retired
98,41,Female,51691,Premium,9,4,Afternoon,Yes,Divorced,Rural,No,Average,Yes,Employed,Working
99,43,Female,72339,Premium,27,4,Morning,No,Single,Urban,No,Average,Yes,Employed,Working
100,42,Male,109900,VIP,24,6,Afternoon,No,Single,Suburban,No,Good,Yes,Employed,Working
101,62,Female,72136,VIP,40,4,Morning,Yes,Married,Urban,No,Poor,Yes,Late Career,Working
102,58,Female,93417,VIP,43,6,Afternoon,No,Divorced,Urban,No,Good,No,Late Career,Working
103,46,Female,50206,Premium,59,2,Afternoon,No,Divorced,Rural,No,Excellent,No,Employed,Working
104,32,Female,74303,Premium,54,1,Afternoon,Yes,Married,Suburban,No,Excellent,Yes,Employed,Working
105,62,Male,71776,Premium,38,3,Morning,Yes,Single,Urban,No,Poor,No,Late Career,Working
106,18,Male,25513,Basic,15,3,Afternoon,Yes,Divorced,Urban,Yes,Excellent,No,Student,In Education
107,42,Female,73401,Premium,38,1,Evening,Yes,Married,Rural,No,Good,Yes,Employed,Working
108,24,Female,34549,Premium,26,4,Afternoon,No,Divorced,Suburban,Yes,Good,Yes,Early Career,Working
109,26,Female,36463,Basic,54,6,Morning,Yes,Divorced,Urban,Yes,Good,Yes,Early Career,Working
110,41,Male,70823,VIP,30,3,Morning,No,Married,Rural,No,Good,No,Employed,Working
111,18,Male,11933,Basic,11,4,Evening,Yes,Divorced,Urban,Yes,Poor,Yes,Student,In Education
112,61,Female,87986,VIP,29,5,Afternoon,No,Married,Urban,No,Average,No,Late Career,Working
113,25,Female,23192,Basic,15,5,Morning,Yes,Married,Rural,Yes,Excellent,Yes,Early Career,Working
114,41,Female,49439,Premium,44,3,Afternoon,No,Divorced,Urban,No,Poor,No,Employed,Working
115,28,Male,46197,Basic,9,1,Evening,Yes,Divorced,Urban,No,Average,No,Early Career,Working
116,68,Female,59635,Premium,42,1,Evening,No,Single,Suburban,No,Poor,No,Retired,Retired
117,34,Male,81141,VIP,29,1,Morning,Yes,Single,Rural,No,Excellent,Yes,Employed,Working
118,25,Female,34496,VIP,15,4,Afternoon,No,Divorced,Urban,Yes,Poor,Yes,Early Career,Working
119,52,Male,52582,Premium,17,5,Evening,Yes,Single,Rural,No,Excellent,No,Employed,Working
120,52,Male,80610,Premium,16,4,Evening,Yes,Single,Rural,No,Poor,Yes,Employed,Working
121,50,Female,53064,Premium,58,2,Morning,Yes,Married,Urban,No,Poor,No,Employed,Working
122,22,Female,8669,Basic,22,2,Evening,Yes,Divorced,Rural,Yes,Good,No,Student,In Education
123,59,Male,88077,VIP,40,3,Morning,Yes,Single,Urban,No,Poor,No,Late Career,Working
124,56,Female,76339,VIP,49,2,Evening,No,Single,Suburban,No,Poor,No,Late Career,Working
125,58,Male,93473,VIP,43,1,Evening,No,Single,Rural,No,Average,No,Late Career,Working
126,45,Male,63640,VIP,11,3,Morning,No,Divorced,Rural,No,Good,No,Employed,Working
127,24,Male,39483,Basic,38,5,Morning,Yes,Married,Urban,Yes,Excellent,No,Early Career,Working
128,26,Male,58574,Premium,25,6,Afternoon,Yes,Divorced,Suburban,No,Good,No,Early Career,Working
129,25,Female,42741,VIP,54,5,Evening,No,Married,Suburban,No,Poor,Yes,Early Career,Working
130,29,Male,45760,Premium,30,2,Afternoon,Yes,Single,Urban,No,Excellent,Yes,Early Career,Working
131,51,Female,52479,Premium,2,2,Afternoon,No,Divorced,Urban,No,Poor,Yes,Employed,Working
132,50,Female,64579,VIP,1,5,Morning,Yes,Married,Urban,No,Good,No,Employed,Working
133,65,Male,138234,VIP,52,2,Evening,No,Single,Suburban,No,Good,Yes,Late Career,Working
134,40,Female,65319,Premium,38,2,Morning,No,Single,Suburban,No,Poor,No,Employed,Working
135,41,Male,68839,VIP,58,4,Evening,No,Divorced,Urban,No,Poor,No,Employed,Working
136,54,Female,50714,Premium,58,6,Morning,Yes,Married,Rural,No,Poor,Yes,Employed,Working
137,52,Male,53181,Premium,57,6,Evening,No,Single,Rural,No,Average,No,Employed,Working
138,61,Male,109620,VIP,37,5,Afternoon,No,Single,Suburban,No,Good,Yes,Late Career,Working
139,57,Male,80129,VIP,55,5,Evening,Yes,Single,Urban,No,Average,Yes,Late Career,Working
140,39,Male,95611,VIP,54,2,Evening,Yes,Married,Suburban,No,Good,Yes,Employed,Working
141,44,Male,88196,VIP,54,1,Morning,Yes,Married,Urban,No,Good,No,Employed,Working
142,52,Female,60789,Premium,9,4,Evening,No,Single,Urban,No,Excellent,Yes,Employed,Working
143,18,Female,351,Basic,5,1,Evening,Yes,Married,Rural,Yes,Excellent,No,Student,In Education
144,52,Female,38128,Basic,50,2,Evening,Yes,Single,Urban,Yes,Good,No,Employed,Working
145,54,Female,43655,VIP,24,5,Evening,Yes,Single,Urban,No,Excellent,No,Employed,Working
146,64,Male,89952,VIP,27,1,Afternoon,Yes,Married,Urban,No,Good,No,Late Career,Working
147,31,Male,61408,Premium,30,6,Morning,Yes,Married,Urban,No,Good,No,Employed,Working
148,20,Male,13484,Basic,51,3,Evening,No,Divorced,Urban,Yes,Poor,No,Student,In Education
149,18,Male,16347,Basic,15,1,Morning,No,Divorced,Rural,Yes,Excellent,Yes,Student,In Education
150,22,Female,12969,Basic,47,5,Afternoon,Yes,Married,Urban,Yes,Average,Yes,Student,In Education
151,43,Female,70397,VIP,9,6,Afternoon,Yes,Married,Urban,No,Average,No,Employed,Working
152,31,Male,86733,VIP,46,2,Evening,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
153,56,Male,95159,VIP,37,1,Morning,No,Married,Rural,No,Good,No,Late Career,Working
154,44,Female,74156,Premium,30,2,Morning,No,Single,Suburban,No,Average,Yes,Employed,Working
155,26,Female,39397,Premium,49,4,Morning,No,Single,Urban,Yes,Excellent,Yes,Early Career,Working
156,32,Male,77287,VIP,15,3,Afternoon,Yes,Divorced,Rural,No,Average,Yes,Employed,Working
157,32,Female,48801,Premium,20,5,Afternoon,No,Married,Urban,No,Poor,Yes,Employed,Working
158,43,Female,50486,Premium,57,5,Evening,No,Divorced,Urban,No,Good,No,Employed,Working
159,59,Male,97015,VIP,49,2,Morning,No,Married,Urban,No,Poor,Yes,Late Career,Working
160,30,Male,47622,Premium,56,3,Morning,Yes,Married,Urban,No,Average,Yes,Early Career,Working
161,68,Female,39085,Basic,56,6,Afternoon,No,Married,Urban,Yes,Good,No,Retired,Retired
162,49,Female,77905,VIP,25,5,Evening,No,Single,Suburban,No,Good,No,Employed,Working
163,56,Female,83435,VIP,9,1,Evening,No,Divorced,Urban,No,Good,Yes,Late Career,Working
164,66,Male,93880,VIP,45,5,Evening,Yes,Married,Suburban,No,Excellent,Yes,Retired,Retired
165,69,Male,57886,Premium,22,1,Afternoon,No,Divorced,Urban,No,Excellent,No,Retired,Retired
166,49,Female,77322,Premium,13,5,Morning,Yes,Divorced,Urban,No,Good,Yes,Employed,Working
167,21,Female,25137,Basic,37,1,Evening,Yes,Single,Suburban,Yes,Good,Yes,Student,In Education
168,47,Male,74982,VIP,60,4,Evening,No,Single,Rural,No,Good,No,Employed,Working
169,54,Female,69515,VIP,28,2,Morning,Yes,Married,Urban,No,Poor,Yes,Employed,Working
170,40,Female,57118,Premium,14,6,Evening,No,Divorced,Suburban,No,Poor,No,Employed,Working
171,56,Female,97239,VIP,30,6,Afternoon,No,Single,Urban,No,Average,No,Late Career,Working
172,62,Female,63975,Premium,39,4,Evening,Yes,Divorced,Urban,No,Good,Yes,Late Career,Working
173,32,Female,77645,VIP,57,6,Morning,No,Divorced,Urban,No,Good,No,Employed,Working
174,60,Male,102471,VIP,5,1,Afternoon,No,Married,Urban,No,Poor,Yes,Late Career,Working
175,46,Female,81896,VIP,12,6,Evening,No,Divorced,Urban,No,Average,Yes,Employed,Working
176,53,Male,70270,VIP,35,2,Morning,Yes,Single,Urban,No,Average,Yes,Employed,Working
177,30,Female,27820,Basic,41,3,Morning,Yes,Married,Rural,Yes,Good,Yes,Early Career,Working
178,49,Male,89729,VIP,42,1,Morning,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
179,24,Female,49750,Premium,1,6,Morning,No,Married,Suburban,No,Average,No,Early Career,Working
180,68,Male,74725,Premium,46,5,Evening,No,Single,Urban,No,Average,No,Retired,Retired
181,39,Male,82130,VIP,1,5,Evening,Yes,Married,Suburban,No,Good,No,Employed,Working
182,45,Male,67389,Premium,42,3,Afternoon,Yes,Divorced,Suburban,No,Good,Yes,Employed,Working
183,19,Male,11101,Basic,43,4,Afternoon,No,Married,Urban,Yes,Good,No,Student,In Education
184,59,Female,80843,VIP,60,1,Morning,Yes,Single,Urban,No,Poor,Yes,Late Career,Working
185,62,Female,68202,Premium,20,5,Morning,No,Single,Rural,No,Good,Yes,Late Career,Working
186,70,Female,58335,Premium,34,2,Afternoon,Yes,Married,Rural,No,Excellent,No,Retired,Retired
187,23,Male,46130,Basic,55,3,Evening,No,Divorced,Urban,No,Excellent,No,Early Career,Working
188,45,Male,68815,VIP,34,4,Evening,No,Single,Urban,No,Average,No,Employed,Working
189,45,Male,43621,Premium,55,4,Evening,No,Single,Rural,No,Poor,Yes,Employed,Working
190,61,Male,76349,Premium,24,2,Morning,Yes,Single,Urban,No,Average,Yes,Late Career,Working
191,61,Female,80586,VIP,28,6,Afternoon,No,Married,Suburban,No,Poor,No,Late Career,Working
192,37,Male,71814,VIP,11,2,Afternoon,Yes,Single,Urban,No,Good,No,Employed,Working
193,47,Male,86214,VIP,8,6,Afternoon,No,Single,Urban,No,Average,Yes,Employed,Working
194,28,Male,55389,Premium,35,3,Evening,No,Single,Suburban,No,Excellent,No,Early Career,Working
195,45,Male,72240,Premium,41,2,Afternoon,No,Married,Suburban,No,Poor,Yes,Employed,Working
196,42,Female,67282,VIP,58,5,Afternoon,Yes,Single,Urban,No,Average,Yes,Employed,Working
197,56,Female,95161,VIP,16,4,Evening,No,Single,Suburban,No,Excellent,Yes,Late Career,Working
198,50,Male,53129,Premium,58,6,Morning,Yes,Married,Rural,No,Excellent,Yes,Employed,Working
199,18,Male,32024,Basic,16,2,Morning,No,Married,Suburban,Yes,Good,Yes,Student,In Education
200,44,Male,87597,VIP,42,1,Evening,No,Divorced,Urban,No,Poor,No,Employed,Working
201,69,Male,73460,Premium,6,2,Afternoon,Yes,Single,Suburban,No,Average,No,Retired,Retired
202,30,Male,39296,Basic,20,6,Morning,Yes,Married,Rural,Yes,Excellent,No,Early Career,Working
203,58,Female,69484,Premium,56,4,Morning,No,Divorced,Rural,No,Poor,Yes,Late Career,Working
204,20,Female,29162,Basic,52,5,Morning,Yes,Single,Suburban,Yes,Good,No,Student,In Education
205,56,Female,60388,Premium,52,2,Evening,No,Married,Urban,No,Poor,No,Late Career,Working
206,23,Male,25720,Basic,11,5,Morning,Yes,Married,Rural,Yes,Poor,No,Early Career,Working
207,25,Male,44797,Basic,8,1,Afternoon,No,Single,Suburban,No,Average,Yes,Early Career,Working
208,44,Female,71817,Premium,20,6,Evening,Yes,Single,Urban,No,Poor,No,Employed,Working
209,26,Female,52564,Premium,32,4,Evening,Yes,Divorced,Suburban,No,Good,No,Early Career,Working
210,54,Female,42934,Premium,33,3,Morning,Yes,Single,Urban,No,Excellent,Yes,Employed,Working
211,50,Male,98837,VIP,6,4,Afternoon,Yes,Single,Suburban,No,Average,No,Employed,Working
212,68,Female,74218,VIP,28,6,Evening,No,Single,Urban,No,Excellent,No,Retired,Retired
213,59,Male,117575,VIP,8,3,Morning,Yes,Married,Suburban,No,Poor,Yes,Late Career,Working
214,61,Female,53406,Premium,14,3,Afternoon,Yes,Divorced,Rural,No,Good,No,Late Career,Working
215,41,Female,37686,Basic,3,4,Afternoon,Yes,Divorced,Rural,Yes,Excellent,Yes,Employed,Working
216,32,Female,43401,Basic,2,6,Evening,No,Divorced,Rural,No,Good,No,Employed,Working
217,49,Male,60447,Premium,22,3,Morning,No,Married,Rural,No,Poor,Yes,Employed,Working
218,49,Female,64602,Premium,33,6,Afternoon,Yes,Single,Urban,No,Poor,Yes,Employed,Working
219,41,Male,90483,VIP,43,5,Evening,No,Married,Suburban,No,Excellent,Yes,Employed,Working
220,58,Male,96901,VIP,21,1,Evening,No,Divorced,Suburban,No,Average,Yes,Late Career,Working
221,69,Male,83449,VIP,6,2,Evening,Yes,Single,Rural,No,Good,No,Retired,Retired
222,66,Female,35279,VIP,40,6,Evening,No,Single,Urban,Yes,Good,Yes,Retired,Retired
223,66,Male,46326,Premium,7,6,Evening,Yes,Divorced,Rural,No,Good,Yes,Retired,Retired
224,69,Male,100319,VIP,6,3,Afternoon,Yes,Single,Suburban,No,Poor,No,Retired,Retired
225,29,Female,21558,Basic,50,6,Evening,No,Married,Rural,Yes,Poor,No,Early Career,Working
226,56,Male,109265,VIP,44,6,Morning,No,Divorced,Urban,No,Excellent,No,Late Career,Working
227,19,Female,18765,Basic,8,3,Morning,Yes,Married,Urban,Yes,Excellent,Yes,Student,In Education
228,20,Male,696,Basic,24,4,Afternoon,Yes,Single,Rural,Yes,Poor,No,Student,In Education
229,66,Male,81025,VIP,27,6,Evening,Yes,Divorced,Urban,No,Average,Yes,Retired,Retired
230,54,Female,40958,Basic,53,5,Evening,No,Single,Rural,No,Good,No,Employed,Working
231,66,Male,52084,Premium,51,2,Afternoon,No,Divorced,Urban,No,Good,No,Retired,Retired
232,34,Female,57003,Premium,28,6,Evening,No,Divorced,Suburban,No,Poor,No,Employed,Working
233,66,Female,60536,Premium,59,3,Evening,No,Divorced,Urban,No,Average,Yes,Retired,Retired
234,19,Female,27951,Basic,56,5,Morning,Yes,Divorced,Suburban,Yes,Average,Yes,Student,In Education
235,19,Female,31120,Basic,5,2,Evening,No,Divorced,Suburban,Yes,Average,Yes,Student,In Education
236,45,Male,99691,VIP,19,4,Afternoon,No,Single,Urban,No,Average,Yes,Employed,Working
237,40,Male,74369,Premium,9,6,Morning,No,Divorced,Urban,No,Average,Yes,Employed,Working
238,54,Female,66157,VIP,25,3,Afternoon,Yes,Married,Urban,No,Excellent,Yes,Employed,Working
239,49,Female,86222,VIP,44,4,Afternoon,No,Divorced,Suburban,No,Poor,Yes,Employed,Working
240,50,Female,60373,Premium,47,6,Evening,Yes,Married,Suburban,No,Poor,Yes,Employed,Working
241,18,Female,7739,Basic,55,4,Evening,No,Single,Rural,Yes,Poor,Yes,Student,In Education
242,36,Female,52619,Premium,45,3,Morning,Yes,Divorced,Suburban,No,Good,Yes,Employed,Working
243,19,Female,22089,Basic,56,5,Afternoon,Yes,Divorced,Suburban,Yes,Average,Yes,Student,In Education
244,70,Male,87280,VIP,13,5,Afternoon,Yes,Married,Urban,No,Average,Yes,Retired,Retired
245,61,Female,89126,VIP,53,4,Evening,Yes,Divorced,Urban,No,Good,No,Late Career,Working
246,43,Male,95582,VIP,53,4,Afternoon,No,Single,Urban,No,Average,No,Employed,Working
247,49,Male,49303,Premium,37,6,Afternoon,No,Single,Rural,No,Average,No,Employed,Working
248,23,Female,12552,Basic,2,1,Afternoon,No,Divorced,Rural,Yes,Average,No,Early Career,Working
249,49,Female,61395,Premium,51,2,Afternoon,Yes,Married,Urban,No,Average,Yes,Employed,Working
250,21,Male,30320,Basic,40,6,Afternoon,Yes,Single,Suburban,Yes,Average,No,Student,In Education
251,28,Male,36855,Basic,14,4,Morning,Yes,Divorced,Rural,Yes,Excellent,No,Early Career,Working
252,34,Male,79612,Premium,31,4,Afternoon,Yes,Married,Suburban,No,Poor,Yes,Employed,Working
253,55,Female,82892,VIP,6,2,Afternoon,No,Married,Urban,No,Excellent,Yes,Employed,Working
254,41,Female,58528,Premium,25,3,Morning,No,Single,Urban,No,Average,No,Employed,Working
255,22,Male,29267,Basic,39,5,Evening,Yes,Divorced,Suburban,Yes,Poor,No,Student,In Education
256,69,Male,31003,Basic,46,3,Evening,No,Single,Rural,Yes,Poor,Yes,Retired,Retired
257,51,Female,68707,Premium,31,2,Morning,Yes,Married,Suburban,No,Poor,No,Employed,Working
258,23,Male,36079,VIP,38,2,Morning,No,Single,Urban,Yes,Poor,Yes,Early Career,Working
259,39,Female,78365,VIP,16,1,Evening,No,Divorced,Urban,No,Good,No,Employed,Working
260,28,Other,20797,Basic,27,6,Afternoon,Yes,Single,Rural,Yes,Poor,Yes,Early Career,Working
261,65,Male,71793,Premium,30,6,Afternoon,No,Married,Rural,No,Good,Yes,Late Career,Working
262,33,Female,75176,Premium,4,6,Morning,Yes,Single,Suburban,No,Good,No,Employed,Working
263,50,Male,93833,VIP,39,6,Afternoon,No,Married,Suburban,No,Poor,No,Employed,Working
264,26,Male,46771,VIP,16,1,Morning,Yes,Married,Urban,No,Average,No,Early Career,Working
265,23,Female,31727,Basic,36,5,Evening,Yes,Married,Rural,Yes,Average,Yes,Early Career,Working
266,33,Male,78267,VIP,7,6,Afternoon,Yes,Single,Rural,No,Poor,No,Employed,Working
267,46,Other,62813,Premium,21,4,Evening,No,Divorced,Urban,No,Poor,Yes,Employed,Working
268,20,Female,3878,Basic,2,2,Afternoon,No,Married,Rural,Yes,Good,Yes,Student,In Education
269,37,Male,50891,Premium,55,1,Afternoon,Yes,Single,Urban,No,Excellent,No,Employed,Working
270,53,Male,71972,Premium,8,3,Afternoon,Yes,Married,Urban,No,Good,No,Employed,Working
271,36,Male,97853,VIP,42,6,Morning,No,Single,Urban,No,Average,Yes,Employed,Working
272,43,Male,70932,Premium,27,1,Evening,Yes,Married,Urban,No,Excellent,No,Employed,Working
273,20,Male,14192,Basic,2,3,Morning,Yes,Single,Urban,Yes,Excellent,Yes,Student,In Education
274,36,Male,82580,VIP,6,1,Morning,No,Married,Suburban,No,Excellent,Yes,Employed,Working
